Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
Thomas Munz	7699	10999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	Полиуретан	Нет	Шнурки	35	75	6	Муж.
Thomas Munz	7699	10999	Серый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	Полиуретан	Декоративная	Шнурки	35	80	6	Муж.
Thomas Munz	7699	10999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	Полиуретан	Нет	Шнурки	35	75	6	Муж.
Thomas Munz	7699	10999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	Полиуретан	Декоративная	Шнурки	35	80	6	Муж.
SALAMANDER	4799	11990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	35	75	6	Муж.
SALAMANDER	4799	11990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	35	75	6	Муж.
SALAMANDER	5599	13990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Шевро	ТЭП	Нет	Шнурки	28	65	6	Муж.
SALAMANDER	5999	14990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	27	82	6	Муж.
SALAMANDER	5999	14990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	27	82	6	Муж.
SALAMANDER	5999	14990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	40	70	6	Муж.
SALAMANDER	5599	13990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	24	80	6	Муж.
SALAMANDER	4799	11990	Черный	Кроссовки	Межсезон	Осень-Зима 2024-2025	Текстиль	Текстиль	Unknown	Шевро	ТЭП	Нет	Шнурки	28	78	6	Муж.
SALAMANDER	5599	13990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	24	80	6	Муж.
SALAMANDER	5199	12990	Хаки	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Натуральная кожа	Натуральная кожа	ЭВА	Нет	Шнурки	35	80	6	Муж.
SALAMANDER	5599	13990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	27	70	6	Муж.
SALAMANDER	5599	13990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Unknown	Шевро	Резина	Нет	Шнурки	40	70	6	Муж.
